State,Year,Rabi,Kharif,Whole Year,Autumn,Summer,Winter
Haryana,1998,21.69436842105263,32.922934210526314,25.87328947368421,21.548263157894738,27.073263157894733,16.46157894736842
Haryana,1999,22.332836257309946,30.34511842105263,25.450473684210525,21.004842105263158,29.023350877192982,16.970315789473684
Haryana,2000,20.876166666666666,30.435473684210525,24.57734649122807,20.668315789473684,27.26094736842105,14.699236842105265
Haryana,2001,21.29654970760234,30.567013157894735,24.798390350877195,20.592684210526315,26.94064912280702,16.356315789473683
Haryana,2002,21.03970760233918,31.208526315789474,24.89380263157895,20.410315789473685,27.242964912280705,15.465842105263159
Haryana,2003,21.112587719298244,30.65071052631579,24.775320175438598,20.799614035087718,27.225859649122807,15.31228947368421
Haryana,2004,21.639365497076025,30.872868421052633,25.149144736842107,20.881035087719297,27.5810350877193,16.456026315789476
Haryana,2005,21.56544736842105,30.51153947368421,25.01792543859649,20.73884210526316,28.03742105263158,15.92007894736842
Haryana,2006,21.341046783625732,31.080250000000003,25.09151754385965,21.180368421052634,27.550561403508777,15.29221052631579
Haryana,2007,21.334590643274854,30.179789473684213,24.74755701754386,20.122666666666667,28.121315789473687,15.75978947368421
Haryana,2008,20.0906783625731,30.397157894736846,23.947802631578945,18.95019298245614,26.290736842105265,15.031105263157896
Haryana,2009,21.27333625730994,30.991894736842106,25.023135964912278,21.048666666666666,27.621368421052633,15.149973684210526
Haryana,2010,22.151619883040933,31.183605263157897,25.69938596491228,21.518929824561404,29.22956140350877,15.70636842105263
Haryana,2011,21.87473976608187,30.521447368421054,25.325504385964912,21.697263157894735,28.87456140350877,15.052394736842105
Haryana,2012,21.817511695906433,30.81382894736842,25.333521929824563,21.875280701754388,27.966596491228067,15.610657894736843
Haryana,2013,22.091932748538014,31.215434210526315,25.65061842105263,21.440543859649125,28.953543859649123,15.88171052631579
Haryana,2014,21.76701754385965,31.53842105263158,25.47421052631579,21.538947368421052,28.339473684210528,15.42263157894737
Haryana,2015,21.45771929824561,31.483684210526313,25.19684210526316,20.15421052631579,28.36894736842105,15.85
Haryana,2016,21.734561403508774,31.23,25.367368421052632,21.358947368421052,28.546842105263156,15.297894736842107
Haryana,2017,21.95421052631579,31.312105263157893,25.50842105263158,21.385263157894737,28.717894736842105,15.759473684210526
Haryana,2018,21.93859649122807,31.399473684210527,25.63421052631579,21.36,28.712631578947367,15.743157894736843
Haryana,2019,21.807368421052633,31.33736842105263,25.443157894736842,21.36,28.58263157894737,15.479473684210527
Himachal Pradesh,1997,15.039877777777777,25.429274999999997,18.95855,15.1343,20.411933333333334,9.5734
Himachal Pradesh,1998,15.74765,26.7634,19.85935,16.059666666666665,20.713033333333335,10.47025
Himachal Pradesh,1999,16.629427777777778,25.62565,20.020016666666667,15.691300000000002,22.269733333333335,11.927249999999999
Himachal Pradesh,2000,15.121377777777775,25.030675,18.90555,15.503566666666666,20.512066666666666,9.3485
Himachal Pradesh,2001,16.012427777777777,25.908949999999997,19.651891666666664,15.342166666666667,20.770166666666668,11.924949999999999
Himachal Pradesh,2002,15.185338888888891,25.8399,19.20704166666667,15.2733,20.73956666666667,9.54315
Himachal Pradesh,2003,15.703111111111113,25.3477,19.366283333333335,16.0046,20.781333333333333,10.323400000000001
Himachal Pradesh,2004,15.99258888888889,25.746875,19.654366666666668,16.0376,20.871766666666666,11.0684
Himachal Pradesh,2005,16.017633333333333,26.155525,19.835191666666667,15.7683,21.5261,10.758500000000002
Himachal Pradesh,2006,15.609905555555557,25.732999999999997,19.503041666666668,16.1843,21.26076666666667,9.38465
Himachal Pradesh,2007,15.955516666666668,24.899925000000003,19.336608333333334,15.058666666666664,21.647833333333335,11.16005
Himachal Pradesh,2008,15.309672222222224,25.81485,19.200591666666668,14.6154,20.674266666666668,10.63935
Himachal Pradesh,2009,15.730844444444443,26.447825,19.828533333333333,16.539066666666667,21.226966666666666,9.4265
Himachal Pradesh,2010,17.574355555555556,26.43475,21.006183333333333,17.070533333333334,23.818533333333335,11.834
Himachal Pradesh,2011,16.85328888888889,25.996050000000004,20.431091666666667,17.597833333333334,22.471333333333334,10.4907
Himachal Pradesh,2012,16.983877777777778,26.27445,20.5459,17.356533333333335,22.193199999999997,11.4019
Himachal Pradesh,2013,16.95671111111111,26.231150000000003,20.512666666666668,16.71176666666667,22.775366666666667,11.383
Himachal Pradesh,2014,16.556,26.433999999999997,20.272,16.65,22.244999999999997,10.773
Himachal Pradesh,2015,16.80966666666667,26.448,20.271,16.829,22.253,11.347
Himachal Pradesh,2016,16.551333333333336,26.455000000000002,20.434,16.969,22.5,10.184999999999999
Himachal Pradesh,2017,17.051333333333332,26.454,20.463,16.986,22.583,11.585
Himachal Pradesh,2018,16.834,26.394,20.499000000000002,16.569,22.549,11.384
Himachal Pradesh,2019,16.604333333333333,26.411,20.349,16.569,22.436,10.808
Jammu and Kashmir,1997,9.62657142857143,22.231267857142857,14.315482142857144,10.534285714285716,14.567000000000002,3.778428571428571
Jammu and Kashmir,1998,10.30867857142857,22.598982142857142,14.87622023809524,11.226761904761904,15.039880952380953,4.659392857142857
Jammu and Kashmir,1999,11.587115079365079,22.695964285714286,15.664458333333332,11.307571428571427,16.359380952380953,7.094392857142857
Jammu and Kashmir,2000,10.463865079365078,21.753553571428572,14.664291666666667,11.224809523809524,14.949285714285713,5.2175
Jammu and Kashmir,2001,11.105809523809524,23.306910714285713,15.50342261904762,10.539523809523809,15.63904761904762,7.138857142857143
Jammu and Kashmir,2002,9.732202380952382,22.683875,14.577321428571429,10.918095238095237,14.881047619047619,3.3974642857142854
Jammu and Kashmir,2003,10.61984126984127,22.092267857142854,14.867732142857145,11.62257142857143,14.70209523809524,5.534857142857143
Jammu and Kashmir,2004,11.033500000000002,22.637660714285715,15.321958333333333,11.449738095238095,15.662119047619049,5.988642857142857
Jammu and Kashmir,2005,10.910162698412698,23.057053571428572,15.395654761904762,11.201309523809524,15.857357142857142,5.671821428571428
Jammu and Kashmir,2006,10.01436111111111,22.96014285714286,14.861386904761906,11.01142857142857,15.39847619047619,3.633178571428572
Jammu and Kashmir,2007,10.685619047619047,22.427392857142856,14.990226190476191,10.500380952380953,15.55904761904762,5.997428571428571
Jammu and Kashmir,2008,10.37981746031746,22.904785714285712,14.985511904761905,10.72302380952381,15.20507142857143,5.2113571428571435
Jammu and Kashmir,2009,10.818380952380954,23.42292857142857,15.459934523809522,11.000928571428572,15.916285714285715,5.537928571428572
Jammu and Kashmir,2010,11.91675,23.473803571428572,16.232660714285714,12.103714285714286,17.2925,6.354035714285715
Jammu and Kashmir,2011,11.806174603174602,22.855410714285714,16.018047619047618,12.629142857142856,17.328738095238094,5.460642857142857
Jammu and Kashmir,2012,12.067916666666667,22.810928571428573,16.094892857142856,12.204761904761906,17.282738095238095,6.7162500000000005
Jammu and Kashmir,2013,11.656309523809524,22.851,15.871964285714284,12.248333333333333,16.873380952380952,5.847214285714286
Jammu and Kashmir,2014,11.313333333333333,22.850714285714286,15.645,12.04142857142857,16.553571428571427,5.345
Jammu and Kashmir,2015,11.457380952380953,22.949285714285715,15.672857142857143,12.25,16.605,5.517142857142857
Jammu and Kashmir,2016,11.603333333333333,23.207857142857144,15.844285714285714,12.337142857142856,16.775714285714287,5.6971428571428575
Jammu and Kashmir,2017,11.798809523809524,23.21142857142857,15.875,12.36,16.89857142857143,6.137857142857143
Jammu and Kashmir,2018,11.502619047619048,22.943571428571428,15.867142857142856,12.026428571428571,16.895,5.586428571428571
Jammu and Kashmir,2019,11.321190476190475,22.955000000000002,15.707857142857142,12.026428571428571,16.585,5.352142857142858
Jharkhand,1997,22.266277777777777,27.361486111111113,24.295648148148146,20.843537037037038,27.660629629629632,18.294666666666664
Jharkhand,1998,22.53920061728395,27.899208333333334,24.667324074074074,21.224462962962964,27.95138888888889,18.44175
Jharkhand,1999,23.128358024691362,27.85376388888889,25.055425925925924,22.015277777777776,28.46462962962963,18.905166666666666
Jharkhand,2000,23.143503086419752,27.59109722222222,24.987314814814813,21.410666666666668,29.2117037037037,18.808138888888887
Jharkhand,2001,22.63733333333333,27.76261111111111,24.621194444444445,21.177185185185184,27.402703703703704,19.33211111111111
Jharkhand,2002,22.825530864197532,27.57161111111111,24.724393518518518,20.752537037037037,28.700555555555557,19.0235
Jharkhand,2003,22.464675925925928,28.159486111111114,24.794555555555558,21.48353703703704,28.62512962962963,17.28536111111111
Jharkhand,2004,22.959530864197532,28.269847222222225,25.013787037037037,21.11125925925926,28.21761111111111,19.549722222222226
